1768: [1, 5, 13, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2121: [23, 28, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2772: [11, 16, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8300: [1, 20, 54, 78, 74, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12199: [0, 0, 0, 1, 6, 13, 11, 0, 0, 0, 0, 0, 0, 0, 0]
13519: [10, 11, 13, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16931: [0, 6, 3, 5, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17650: [11, 5, 16, 22, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34453: [0, 0, 21, 40, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35521: [1, 0, 3, 18, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
51412: [21, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
51894: [10, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
74440: [3, 0, 7, 12, 10, 11, 5, 3, 10, 3, 1, 2, 2, 0, 0]
74545: [0, 2, 1, 1, 7, 6, 1, 13, 4, 7, 1, 6, 1, 0, 0]
74807: [0, 1, 1, 1, 2, 1, 2, 0, 3, 8, 5, 5, 11, 0, 0]
75058: [0, 8, 9, 4, 6, 10, 5, 2, 0, 1, 4, 0, 0, 0, 0]
75216: [2, 4, 3, 10, 8, 16, 5, 22, 9, 7, 4, 6, 13, 7, 0]
75231: [0, 0, 3, 7, 13, 12, 21, 7, 8, 12, 10, 19, 26, 1, 0]
75374: [0, 3, 2, 2, 1, 4, 1, 1, 7, 3, 5, 6, 0, 0, 0]
75662: [2, 1, 6, 3, 3, 3, 10, 0, 6, 1, 4, 1, 4, 0, 0]
75801: [0, 0, 8, 8, 5, 5, 9, 2, 3, 1, 1, 3, 3, 0, 0]
76308: [2, 5, 3, 3, 7, 5, 3, 1, 2, 6, 3, 3, 2, 0, 0]
76455: [0, 0, 0, 6, 1, 4, 5, 5, 8, 2, 7, 3, 6, 0, 0]
77269: [1, 0, 8, 7, 6, 5, 2, 4, 4, 3, 1, 0, 0, 0, 0]
77289: [0, 6, 2, 15, 9, 5, 2, 4, 8, 1, 9, 4, 0, 0, 0]
77381: [3, 3, 3, 9, 0, 2, 3, 1, 4, 0, 2, 1, 0, 0, 0]
77419: [2, 2, 10, 12, 19, 17, 33, 14, 19, 16, 30, 13, 15, 0, 0]
77502: [0, 2, 3, 6, 3, 9, 8, 3, 5, 1, 6, 6, 6, 0, 0]
77562: [0, 0, 8, 3, 3, 5, 1, 5, 4, 3, 0, 0, 0, 0, 0]
77723: [0, 0, 2, 0, 2, 7, 5, 3, 5, 0, 5, 1, 2, 0, 0]
77770: [0, 0, 4, 2, 4, 5, 2, 3, 1, 7, 3, 5, 0, 0, 0]
77820: [1, 1, 1, 7, 0, 11, 4, 2, 2, 0, 3, 0, 2, 0, 0]
77898: [0, 0, 1, 3, 3, 4, 5, 0, 4, 4, 1, 5, 7, 0, 0]
77906: [0, 0, 4, 1, 1, 3, 3, 1, 5, 5, 5, 8, 5, 0, 0]
78357: [0, 1, 11, 7, 6, 6, 7, 14, 1, 0, 8, 10, 5, 0, 0]
78479: [8, 11, 10, 14, 13, 18, 18, 2, 9, 4, 11, 10, 15, 0, 0]
78689: [1, 1, 5, 7, 10, 2, 0, 2, 0, 2, 4, 6, 0, 0, 0]
78692: [0, 3, 3, 4, 8, 6, 7, 8, 9, 7, 8, 10, 1, 0, 0]
78858: [1, 4, 4, 2, 4, 0, 9, 5, 4, 1, 1, 1, 2, 0, 0]
78866: [1, 6, 5, 8, 6, 3, 4, 1, 3, 0, 0, 0, 0, 2, 2]
79206: [0, 1, 2, 2, 0, 6, 2, 6, 3, 6, 4, 3, 9, 8, 0]
79443: [3, 0, 6, 2, 2, 6, 6, 7, 4, 12, 7, 10, 0, 0, 0]
79462: [2, 2, 1, 2, 2, 5, 6, 2, 3, 0, 2, 5, 8, 0, 0]
79534: [0, 0, 2, 3, 4, 4, 1, 1, 5, 2, 9, 0, 0, 0, 0]
79620: [2, 7, 6, 12, 11, 15, 11, 6, 6, 3, 4, 7, 6, 0, 0]
80041: [1, 7, 4, 10, 2, 0, 2, 1, 2, 1, 1, 0, 0, 3, 1]
80262: [1, 0, 4, 10, 3, 9, 2, 1, 0, 2, 1, 4, 1, 0, 0]
80365: [0, 0, 9, 5, 1, 3, 2, 3, 1, 3, 4, 3, 0, 0, 0]
80514: [2, 9, 8, 8, 11, 16, 1, 3, 6, 2, 2, 4, 1, 0, 0]
80642: [0, 12, 5, 10, 4, 4, 4, 0, 0, 0, 1, 2, 0, 0, 0]
